title,description,nace_label
"['sale', 'representative']","['personnel', 'leasing', 'placement', 'paderborn', 'owl', 'looking', 'sale', 'representative', 'monday', 'friday', '0800', '1700', '33100', 'paderborn', 'jolmes', 'name', 'known', 'wide', 'range', 'service', 'quality', 'service', '1000', 'people', 'wide', 'variety', 'nation', 'already', 'working', 'jolmes', 'group', 'individual', 'company', 'jolmes', 'building', 'cleaning', 'jolmes', 'handwerk', 'jolmes', 'energie', 'personalservice']","['wholesale', 'retail', 'trade', 'repair', 'motor', 'vehicle', 'motorcycle']"
"['machine', 'operator']","['future', 'start', 'regional', 'personnel', 'service', 'company', 'help', 'find', 'right', 'job', 'machine', 'operator', 'location', 'lahr', 'black', 'forest', 'employment', 'type', 'shift', 'fulltime', 'task', 'insertion', 'acceptance', 'activity', 'machine', 'system', 'equipping', 'various', 'box', 'registration', 'production', 'process', 'profile', 'ideally', 'professional', 'experience', 'area', 'german', 'language', 'skill', 'a1', 'ability', 'work', 'team', 'work', 'independently', 'prerequisite', 'willingness', 'work', 'shift', 'get', 'u', 'receive', 'holiday', 'christmas', 'bonus', 'driving', 'service', 'bring', 'safely', 'place', 'work', 'friendly', 'team', 'awaits', 'well', 'personal', 'support', 'agency', 'four', 'customer', 'opportunity', 'contribute', 'expand', 'knowledge', 'experience', 'receive', 'careful', 'training', 'workplace', 'position', 'intended', 'long', 'term', 'takeover', 'possible', 'time', 'personal', 'contact', 'mr', 'noah', 'riehle', 'personnel', 'dispatcher', 'agency', 'four', 'friedrichstrasse', '5052', '77933', 'lahrblack', 'forest', 'phone', '07821', '5882910', 'email', 'bewerbungenagenturviercom', 'department', 'commercial', 'type', 'staffing', 'need', 'reassignment', 'collective', 'agreement', 'bap']","['manufacturing']"
"['employee', 'warehouse', 'order', 'picking', 'parttime']","['wm', 'se', 'one', 'leading', 'company', 'trade', 'vehicle', 'part', 'accessory', 'tyre', 'tool', 'workshop', 'equipment', 'europe', '200', 'wm', 'sale', 'outlet', 'europe', 'usa', 'pick', 'around', '45', 'million', 'order', 'per', 'year', 'article', 'supply', 'customer', 'time', 'several', 'time', 'day', 'portfolio', 'go', 'far', 'beyond', 'logistics', 'trading', 'comprehensive', 'always', 'available', 'range', 'original', 'spare', 'part', 'wellknown', 'brand', 'manufacturer', 'workshop', 'equipment', 'vehicle', 'workshop', 'car', 'commercial', 'vehicle', 'twowheelers', 'addition', 'attractive', 'service', 'module', 'latest', 'workshop', 'software', 'also', 'offer', 'wide', 'range', 'practical', 'training', 'course', 'workshop', 'planning', 'turnkey', 'new', 'construction', 'tailormade', 'fullservice', 'concept', 'every', 'workshop', 'order', 'expand', 'activity', 'looking', 'sale', 'outlet', 'schweinfurt', 'parttime', 'warehouse', 'employee', 'warehouse', 'helper', 'order', 'picker', 'warehouse', 'clerk', 'soon', 'possible', 'task', 'order', 'picking', 'according', 'current', 'storage', 'location', 'technology', 'warehouse', 'maintenance', 'compare', 'picked', 'good', 'content', 'delivery', 'note', 'warehousing', 'shippingready', 'packaging', 'good', 'according', 'ggvs', 'control', 'storage', 'returned', 'good', 'profile', 'training', 'warehousing', 'logistics', 'desirable', 'work', 'experience', 'warehouse', 'picking', 'shipping', 'aboveaverage', 'willingness', 'perform', 'organizational', 'skill', 'flexibility', 'range', 'varied', 'work', 'innovative', 'motivated', 'dynamic', 'team', 'family', 'business', 'successful', 'strong', 'root', 'germany', 'growing', 'internationally', 'human', 'open', 'fair', 'corporate', 'culture', 'excellent', 'working', 'atmosphere', 'flat', 'hierarchy', 'employment', 'relationship', 'performancerelated', 'remuneration', 'detailed', 'comprehensive', 'training', 'training', 'development', 'opportunity', 'short', 'decision', 'path', 'look', 'forward', 'receiving', 'complete', 'application', 'cover', 'letter', 'curriculum', 'vitae', 'certificate', 'stating', 'earliest', 'possible', 'starting', 'date', 'wm', 'se', 'mr', 'dominik', 'halbig', 'wienstr', '97424', 'schweinfurt']","['transportation', 'storage']"
"['application', 'manager', 'window', '7148186']","['looking', 'employer', 'us', 'expertise', 'optimally', 'want', 'develop', 'learn', 'looking', 'support', 'application', 'process', 'career', 'planning', 'looking', 'youcompetent', 'personal', 'proactive', 'thats', 'top', 'itservices', 'ag', 'one', 'leading', 'personnel', 'service', 'provider', 'engineering', 'bring', 'top', 'expert', 'manager', 'well', 'specialist', 'right', 'companyfor', 'permanent', 'position', 'temporary', 'project', 'offer', 'holistic', 'expert', 'service', 'take', 'time', 'get', 'know', 'coach', 'navigate', 'professional', 'path', 'wish', 'accept', 'challenge', 'fill', 'vacant', 'position', 'leading', 'company', 'task', 'administration', 'application', 'landscape', 'development', 'solution', 'approach', 'development', 'optimization', 'existing', 'system', 'error', 'analysis', 'troubleshooting', 'event', 'fault', 'occurring', 'part', '2nd', '3rd', 'level', 'support', 'monitoring', 'documentation', 'reporting', 'relevant', 'business', 'process', 'preparation', 'implementation', 'training', 'course', 'system', 'test', 'well', 'support', 'various', 'project', 'team', 'profile', 'completed', 'training', 'field', 'similar', 'qualification', 'professional', 'experience', 'application', 'management', 'administration', 'database', 'creation', 'script', 'bpowershell', 'good', 'knowledge', 'window', 'server', 'linux', 'environment', 'eg', 'brhel', 'good', 'written', 'spoken', 'german', 'english', 'skill', 'well', 'minimal', 'willingness', 'travel', 'international', 'location', 'benefit', 'networking', 'interesting', 'renowned', 'company', 'trustworthy', 'personal', 'support', 'time', 'partnership', 'basis', 'cooperation', 'transparent', 'fast', 'application', 'process', 'binding', 'feedback', 'within', '14', 'day', 'location', 'independent', 'flexible', 'due', 'possibility', 'work', 'remotely', 'apply', 'recognize', 'send', 'document', 'job50topitservicescom', 'quoting', 'reference', 'number', '7148186', 'shari', 'schmidt', 'happy', 'answer', 'initial', 'request', 'information', 'question', 'telephone', '49', '621', '17027959', 'looking', 'forward', 'hearing', 'soon', 'apply', 'directly', 'httpswwwtopitservicescomoclmoa', 'also', 'find', 'interesting', 'job', 'offer', 'homepage', 'httpswwwtopitservicescomannouncements', 'explicit', 'differentiation', 'female', 'male', 'form', 'text', 'improve', 'legibility', 'always', 'meant']","['administrative', 'support', 'service', 'activity']"
"['carpenter', 'joiner', 'cnc', 'specialist', 'wood']","['buemann', 'personal', 'service', 'bps', 'buemann', 'personal', 'service', 'gmbh', 'disposal', 'competent', 'partner', 'come', 'personnel', 'service', 'vogt', 'ravensburg', 'lindenberg', 'longstanding', 'business', 'relationship', 'many', 'wellknown', 'company', 'area', 'since', 'founded', '2007', 'made', 'mission', 'bring', 'together', 'right', 'applicant', 'company', 'offer', 'permanent', 'employment', 'contract', 'holiday', 'christmas', 'bonus', 'employment', 'close', 'live', 'many', 'advantage', 'carpenter', 'carpenter', 'cnc', 'specialist', 'wood', 'location', 'wangen', 'allgäu', 'employment', 'type', 'shift', 'fulltime', 'looking', 'longstanding', 'customer', 'looking', 'carpentercarpentercnc', 'specialist', 'wood', 'soon', 'possible', 'offer', 'job', 'option', 'taken', 'wage', 'regulated', 'collective', 'agreement', 'development', 'potential', 'prospect', 'opportunity', 'taken', 'permanently', 'professional', 'qualification', 'regular', 'wage', 'increase', 'easier', 'entry', 'various', 'professional', 'field', 'task', 'setting', 'operating', 'cnc', 'machine', 'homag', 'weeke', 'manual', 'production', 'woodworking', 'control', 'manufactured', 'part', 'based', 'detailed', 'drawing', 'route', 'map', 'recognizing', 'eliminating', 'programmachine', 'fault', 'care', 'maintenance', 'system', 'professional', 'personal', 'requirement', 'completed', 'training', 'cnc', 'specialist', 'wood', 'carpenter', 'carpenter', 'wood', 'mechanic', 'additional', 'cnc', 'qualification', 'willingness', 'work', 'shift', 'desired', 'offer', 'personal', 'individual', 'advice', 'support', 'permanent', 'employment', 'contract', 'job', 'close', 'home', 'secure', 'income', 'according', 'collective', 'agreement', 'increase', 'accordance', 'industry', 'surcharge', 'respective', 'user', 'company', 'guaranteed', 'additional', 'benefit', 'bap', 'tariff', 'special', 'annual', 'payment', 'vacation', 'christmas', 'bonus', 'increasing', 'vacation', 'entitlement', 'longterm', 'customer', 'assignment', 'good', 'chance', 'taken', 'wellknown', 'company', 'region', 'individual', 'training', 'development', 'opportunity', 'contact', 'detail', 'job', 'advertisement', 'buemann', 'personal', 'service', 'gmbh', 'vogt', 'sirgensteinstrasse', 'd88267', 'vogt', 'hairdryer', '49', '7529', '974', '770', 'fax', '49', '7529', '974', '771', 'email', 'bewerbungvogtbuemanneu', 'internet', 'wwwbuemanneu', 'department', 'skilled', 'wood', 'workerscarpenters', 'collective', 'agreement', 'bap', 'salary', 'group']","['manufacturing']"
"['warehouse', 'helper', 'lza']","['warehouse', 'helper', 'lza', 'new', 'job', 'waiting', 'u', 'together', 'client', 'region', 'looking', 'warehouse', 'worker', 'would', 'like', 'work', 'modern', 'warehouse', 'place', 'work', 'easy', 'reach', 'public', 'transport', 'expect', 'work', 'small', 'team', 'receive', 'thorough', 'training', 'treated', 'courteous', 'supervisor', 'addition', 'good', 'working', 'atmosphere', 'also', 'christmas', 'bonus', 'vacation', 'pay', 'well', 'opportunity', 'offered', 'permanent', 'position', 'perform', 'well', 'next', 'possible', 'date', 'course', 'growth', 'looking', 'warehouse', 'assistant', 'lza', 'fulltime', 'bingen', 'rhein', 'site', 'apply', 'position', 'exciting', 'secure', 'job', 'partner', 'company', 'also', 'best', 'opportunity', 'development', 'employment', 'motivated', 'team', 'top', 'company', 'interesting', 'job', 'attractive', 'pay', 'good', 'bonus', 'night', 'public', 'holiday', 'sunday', 'work', 'well', 'holiday', 'christmas', 'bonus', 'participation', 'bonus', 'system', 'monthly', 'benefit', 'eur', '4400', 'eg', 'fuel', 'voucher', 'ikea', 'voucher', 'kino', 'voucher', 'etc', 'nice', 'team', 'collegial', 'working', 'atmosphere', 'fun', 'work', 'advance', 'paymentspayments', 'account', 'possible', 'according', 'individual', 'need', 'look', 'forward', 'team', 'motivated', 'nice', 'colleague', 'happy', 'support', 'knowledge', 'experience', 'induction', 'period', 'overtime', 'payment', 'wage', 'regulated', 'working', 'hour', 'highquality', 'protective', 'work', 'clothing', 'free', 'charge', 'benefit', 'discount', 'corporate', 'benefit', 'program', '300', 'bonus', 'bring', 'friend', 'neighbor', 'brother', 'etc', 'get', '300', 'bonus', 'recommending', 'u', 'regular', 'company', 'event', 'christmas', 'party', 'beating', 'christmas', 'tree', 'summer', 'barbecue', 'much', 'personal', 'individual', 'support', 'local', 'branch', 'would', 'also', 'happy', 'advise', 'job', 'career', 'opportunity', 'workplace', 'activity', 'support', 'good', 'receiptgoods', 'issue', 'team', 'carrying', 'packaging', 'work', 'general', 'warehouse', 'shipping', 'activity', 'provision', 'good', 'according', 'order', 'bring', 'understanding', 'number', 'would', 'like', 'experience', 'picking', 'warehousing', 'shipping', 'motivation', 'reliability', 'willingness', 'learn', 'new', 'thing', 'good', 'knowledge', 'german', 'future', 'start', 'today', 'recognize', 'profile', 'imagine', 'taking', 'task', 'listed', 'fun', 'commitment', 'look', 'forward', 'getting', 'know', 'question', 'please', 'hesitate', 'get', 'touch', 'contact', '06721', '797920', 'easily', 'send', 'u', 'document', 'via', 'whatsapp', '01726257848', 'directly', 'email', 'expert', 'select', 'gmbh', 'team', 'good', 'job', 'job', 'dont', 'frog', 'come', 'u', 'look', 'forward', 'meeting']","['transportation', 'storage']"
"['electrician', 'installation', 'control', 'cabinet', 'construction']","['buemann', 'personal', 'service', 'bps', 'buemann', 'personal', 'service', 'gmbh', 'disposal', 'competent', 'partner', 'come', 'personnel', 'service', 'vogt', 'ravensburg', 'lindenberg', 'longstanding', 'business', 'relationship', 'many', 'wellknown', 'company', 'area', 'since', 'founded', '2007', 'made', 'mission', 'bring', 'together', 'right', 'applicant', 'company', 'offer', 'permanent', 'employment', 'contract', 'holiday', 'christmas', 'bonus', 'employment', 'close', 'live', 'many', 'advantage', 'electrician', 'installation', 'control', 'cabinet', 'construction', 'location', 'wangen', 'allgäu', 'employment', 'type', 'fulltime', 'looking', 'longstanding', 'customer', 'looking', 'electrician', 'installation', 'control', 'cabinet', 'construction', 'soon', 'possible', 'offer', 'job', 'option', 'taken', 'wage', 'regulated', 'collective', 'agreement', 'development', 'potential', 'prospect', 'opportunity', 'taken', 'permanently', 'professional', 'qualification', 'regular', 'wage', 'increase', 'easier', 'entry', 'various', 'professional', 'field', 'task', 'construction', 'installation', 'wiring', 'commissioning', 'control', 'cabinet', 'install', 'lay', 'cable', 'complex', 'machine', 'carrying', 'vde', 'test', 'commissioning', 'customer', 'professional', 'personal', 'requirement', 'successfully', 'completed', 'training', 'electrician', 'electronics', 'technician', 'comparable', 'qualification', 'ideally', 'first', 'experience', 'control', 'cabinet', 'construction', 'machine', 'installation', 'team', 'player', 'passionate', 'electrical', 'engineering', 'flexible', 'willing', 'travel', 'offer', 'personal', 'individual', 'advice', 'support', 'permanent', 'employment', 'contract', 'job', 'close', 'home', 'secure', 'income', 'according', 'collective', 'agreement', 'increase', 'accordance', 'industry', 'surcharge', 'respective', 'user', 'company', 'guaranteed', 'additional', 'benefit', 'bap', 'tariff', 'special', 'annual', 'payment', 'vacation', 'christmas', 'bonus', 'increasing', 'vacation', 'entitlement', 'longterm', 'customer', 'assignment', 'good', 'chance', 'taken', 'wellknown', 'company', 'region', 'individual', 'training', 'development', 'opportunity', 'contact', 'detail', 'job', 'advertisement', 'buemann', 'personal', 'service', 'gmbh', 'vogt', 'sirgensteinstrasse', 'd88267', 'vogt', 'hairdryer', '49', '7529', '974', '770', 'fax', '49', '7529', '974', '771', 'email', 'bewerbungvogtbuemanneu', 'internet', 'wwwbuemanneu', 'department', 'electrician', 'collective', 'agreement', 'bap', 'salary', 'group']","['construction']"
"['electronics', 'technician', 'industrial', 'engineering']","['förster', 'kunststofftechnik', 'gmbh', 'mediumsized', 'manufacturer', 'technical', 'plastic', 'part', 'customer', 'come', 'electrical', 'engineering', 'furniture', 'office', 'equipment', 'sector', 'among', 'others', 'world', 'home', 'maintenance', 'looking', 'electronics', 'technician', 'industrial', 'engineering', 'task', 'responsible', 'maintenance', 'injection', 'molding', 'machine', 'associated', 'peripheral', 'install', 'new', 'machine', 'working', 'electrical', 'building', 'installation', 'part', 'duty', 'recognize', 'fix', 'fault', 'profile', 'completed', 'training', 'electronics', 'technician', 'industrial', 'engineering', 'comparable', 'training', 'already', 'relevant', 'professional', 'experience', 'advantage', 'familiarize', 'new', 'task', 'good', 'knowledge', 'spoken', 'written', 'german', 'desirable', 'work', 'independently', 'responsibility', 'offer', 'crisisproof', 'job', 'many', 'social', 'benefit', 'employerfunded', 'pension', 'free', 'company', 'bike', 'mineral', 'water', 'coffee', 'free', 'charge', 'monthly', 'gift', 'card', 'local', 'bakery', 'much', 'collegial', 'working', 'atmosphere', 'piqued', 'interest', 'look', 'forward', 'receiving', 'application', 'question', 'production', 'manager', 'gerhard', 'wiuendl', 'happy', 'help', 'telephone', '09621', '6502214', 'email', 'gehardwiendlfoerstergmbh']","['construction']"
"['apprenticeship', 'industrial', 'clerk']","['plan', 'future', 'every', 'day', 'team', 'julius', 'berger', 'international', 'get', 'project', 'running', 'passion', 'precision', 'competence', 'nationally', 'internationally', 'whether', 'major', 'construction', 'site', 'subproject', 'advice', 'there', 'lot', 'discover', 'u', 'would', 'like', 'start', 'career', 'u', 'begin', 'futureoriented', 'training', 'looking', 'apprenticeship', 'industrial', 'clerk', 'wiesbaden', 'task', 'await', 'u', 'pas', 'department', 'relevant', 'training', 'company', 'involved', 'everyday', 'working', 'life', 'right', 'start', 'gain', 'deep', 'insight', 'purchasing', 'finance', 'human', 'resource', 'department', 'working', 'important', 'program', 'excel', 'word', 'powerpoint', 'dealing', 'office', 'communication', 'tool', 'accompany', 'throughout', 'training', 'training', 'right', 'good', 'high', 'school', 'diploma', 'vocational', 'diplomahigh', 'school', 'diploma', 'good', 'german', 'english', 'mathematics', 'bring', 'good', 'grade', 'interested', 'commercial', 'activity', 'good', 'communication', 'important', 'enjoy', 'organizing', 'already', 'completed', 'internship', 'commercial', 'area', 'advantage', 'training', 'offer', 'expect', 'perfect', 'training', 'condition', 'experienced', 'trainer', 'mentor', 'collective', 'wage', 'agreement', 'including', 'eg', 'company', 'pension', 'scheme', 'always', 'contact', 'person', 'question', 'work', 'modern', 'ergonomic', 'working', 'environment', 'new', 'office', 'building', 'ihkcertified', 'healthy', 'company', 'offer', 'ua', 'inhouse', 'fitness', 'studio', 'trainer', 'sport', 'course', 'well', 'jobrad', 'initiative']","['administrative', 'support', 'service', 'activity']"
"['data', 'scientist']","['task', 'area', 'responsibility', 'apply', 'method', 'machine', 'learning', 'artificial', 'intelligence', 'practical', 'problem', 'steel', 'production', 'carry', 'big', 'data', 'analyzes', 'identify', 'starting', 'point', 'product', 'process', 'improvement', 'develop', 'tailormade', 'algorithm', 'solution', 'wide', 'variety', 'business', 'area', 'production', 'logistics', 'sale', 'etc', 'order', 'automate', 'improve', 'work', 'process', 'develop', 'predictive', 'machine', 'learning', 'model', 'used', 'create', 'forecast', 'andor', 'control', 'production', 'facility', 'develop', 'aibased', 'model', 'eg', 'image', 'recognition', 'model', 'automatic', 'evaluation', 'image', 'video', 'signal', 'lead', 'support', 'interdisciplinary', 'project', 'internalexternal', 'technical', 'issue', 'eg', 'fundampe', 'decarbonization', 'processed', 'dataoriented', 'manner', 'profile', 'completed', 'degree', 'mathematics', 'physic', 'computer', 'science', 'engineering', 'preferably', 'several', 'year', 'relevant', 'professional', 'experience', 'able', 'get', 'involved', 'interdisciplinary', 'project', 'team', 'develop', 'creative', 'solution', 'practical', 'problem', 'solid', 'programming', 'skill', 'preferably', 'python', 'andor', 'experience', 'application', 'machine', 'learning', 'deep', 'learning', 'algorithm', 'able', 'carry', 'data', 'query', 'sql', 'prepare', 'data', 'visualize', 'meaningfully', 'preferably', 'already', 'experience', 'field', 'computer', 'vision', 'high', 'degree', 'affinity', 'good', 'knowledge', 'english', 'completes', 'profile', 'thats', 'offer', 'thyssenkrupp', 'steel', 'find', 'freedom', 'broaden', 'horizon', 'thanks', 'flexible', 'working', 'time', 'model', 'international', 'team', 'wide', 'range', 'individual', 'training', 'option', 'give', 'top', 'priority', 'health', 'safety', 'work', 'enable', 'employee', 'work', 'u', 'act', 'safety', 'healthconscious', 'manner', 'collegial', 'cooperation', 'respect', 'dealing', 'found', 'u', '200', 'year', 'important', 'u', 'apply', 'quoting', 'job', 'title', 'reference', 'number', 'jr0000011284', 'subject', 'line', 'contact', 'look', 'forward', 'receiving', 'complete', 'application', 'document', 'possible', 'starting', 'date', 'salary', 'expectation', 'via', 'online', 'application', 'form', 'question', 'position', 'application', 'process', 'please', 'contact', 'u', 'tksbsbewerberpostfachsteeleuropecom', 'thats', 'offer', 'value', 'diversity', 'therefore', 'welcome', 'application', 'regardless', 'gender', 'nationality', 'ethnic', 'social', 'background', 'religionbelief', 'disability', 'age', 'sexual', 'orientation', 'identity']","['professional', 'scientific', 'technical', 'activity']"
